epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,3267.97,1.35048,0.93125,0.99061,0.54689,0.48074,0.48484,0.27337,1.62005,1.74054,1.40521,0.000322778,0.000322778,0.000322778
126,3292.88,1.38513,0.94245,0.9881,0.54915,0.44136,0.45849,0.25701,1.63813,1.79295,1.43084,0.000315572,0.000315572,0.000315572
127,3335.54,1.35702,0.92668,0.97829,0.57499,0.46517,0.48334,0.26157,1.61226,1.6833,1.40381,0.000308412,0.000308412,0.000308412
128,3374.95,1.38616,0.94133,0.99419,0.53125,0.4953,0.4789,0.26674,1.61702,1.69688,1.41167,0.0003013,0.0003013,0.0003013
129,3417.3,1.3448,0.92445,0.98691,0.56918,0.45014,0.48074,0.26481,1.61981,1.73686,1.4055,0.000294239,0.000294239,0.000294239
130,3459.37,1.37316,0.94984,0.99653,0.58342,0.45441,0.4835,0.26432,1.65383,1.67335,1.42617,0.00028723,0.00028723,0.00028723
131,3504.52,1.38602,0.94512,0.99484,0.55534,0.47502,0.48311,0.27396,1.6311,1.67273,1.39128,0.000280275,0.000280275,0.000280275
132,3547.78,1.36606,0.92657,0.98634,0.50777,0.50949,0.47398,0.26741,1.61371,1.74332,1.39247,0.000273375,0.000273375,0.000273375
133,3592.73,1.35915,0.91524,0.98179,0.51927,0.50887,0.48882,0.27166,1.6374,1.68704,1.42367,0.000266532,0.000266532,0.000266532
134,3635.62,1.37818,0.9242,0.98902,0.55382,0.46815,0.46938,0.26802,1.65734,1.72722,1.45053,0.000259748,0.000259748,0.000259748
135,3674.57,1.34781,0.90909,0.9827,0.54256,0.48511,0.49569,0.27674,1.65498,1.68335,1.44887,0.000253024,0.000253024,0.000253024
136,3702.26,1.34112,0.90032,0.97772,0.61409,0.47639,0.50465,0.28081,1.62261,1.67953,1.4275,0.000246363,0.000246363,0.000246363
137,3725.63,1.3531,0.91443,0.98271,0.60202,0.49158,0.49587,0.27238,1.63716,1.68725,1.42385,0.000239766,0.000239766,0.000239766
138,3747.21,1.32285,0.90001,0.97838,0.61851,0.47059,0.49281,0.27871,1.60509,1.65139,1.42941,0.000233234,0.000233234,0.000233234
139,3768.63,1.35001,0.91507,0.98104,0.51432,0.53124,0.48782,0.26845,1.62441,1.63945,1.44092,0.000226769,0.000226769,0.000226769
140,3789.84,1.34139,0.90547,0.97959,0.64926,0.44201,0.49047,0.2695,1.62291,1.68173,1.4222,0.000220372,0.000220372,0.000220372
141,3811.15,1.33991,0.89813,0.98046,0.53904,0.50241,0.49597,0.27807,1.62599,1.64422,1.42971,0.000214046,0.000214046,0.000214046
142,3832.21,1.34974,0.91107,0.98482,0.6011,0.50383,0.50395,0.28001,1.6298,1.64519,1.4271,0.000207792,0.000207792,0.000207792
143,3853.65,1.32941,0.89348,0.97634,0.62456,0.47033,0.493,0.27436,1.64683,1.67455,1.43388,0.000201611,0.000201611,0.000201611
144,3875.05,1.36626,0.92134,0.98752,0.53637,0.50373,0.49724,0.27856,1.61569,1.68606,1.4193,0.000195505,0.000195505,0.000195505
145,3896.5,1.3366,0.89352,0.98196,0.57685,0.50769,0.50553,0.28313,1.60265,1.65402,1.41232,0.000189475,0.000189475,0.000189475
146,3917.83,1.32831,0.89211,0.98262,0.60375,0.48935,0.49917,0.28225,1.60571,1.70614,1.41189,0.000183523,0.000183523,0.000183523
147,3938.79,1.32389,0.88863,0.97576,0.65336,0.44026,0.49994,0.27776,1.61811,1.68709,1.41355,0.000177651,0.000177651,0.000177651
148,3960.24,1.33544,0.89998,0.98164,0.52134,0.51819,0.48186,0.27279,1.64158,1.70398,1.43973,0.000171859,0.000171859,0.000171859
149,3995.12,1.31781,0.8866,0.97366,0.56861,0.48476,0.4906,0.27681,1.64822,1.73367,1.46308,0.000166149,0.000166149,0.000166149
150,4037.07,1.31073,0.87858,0.97202,0.59493,0.45739,0.48644,0.27397,1.65634,1.71997,1.45246,0.000160523,0.000160523,0.000160523
151,4079.59,1.33494,0.9012,0.98141,0.51173,0.51851,0.49471,0.27643,1.62349,1.65377,1.42774,0.000154982,0.000154982,0.000154982
152,4120.97,1.31503,0.88349,0.97245,0.59668,0.4532,0.50524,0.28458,1.62174,1.66633,1.43175,0.000149527,0.000149527,0.000149527
153,4162.91,1.3084,0.86914,0.97042,0.58869,0.46626,0.49877,0.27672,1.6285,1.69108,1.41555,0.000144161,0.000144161,0.000144161
154,4205.01,1.32089,0.88003,0.97129,0.62877,0.42991,0.48129,0.27294,1.62666,1.6663,1.42437,0.000138883,0.000138883,0.000138883
155,4246.83,1.32262,0.87949,0.97551,0.58416,0.45805,0.49091,0.27754,1.63456,1.67809,1.42147,0.000133695,0.000133695,0.000133695
156,4288.76,1.30175,0.85738,0.96429,0.5822,0.46185,0.48833,0.27669,1.62519,1.69483,1.42314,0.000128599,0.000128599,0.000128599
157,4331.06,1.30208,0.85967,0.96687,0.58919,0.48072,0.49508,0.28428,1.63263,1.65692,1.42976,0.000123596,0.000123596,0.000123596
